model,eta,residual_cap,mean_rank_ic,median_rank_ic,positive_ic_years,mean_top_bottom_spread,mean_best_iteration,mean_rule_slope
xgb_20,0.05,0.1,0.023688834415363513,0.03560505457834926,2,-0.0022374108316555574,41.333333333333336,-0.0021830907836411016
xgb_19,0.75,0.5,0.023688227731702486,0.036575774822786775,2,-0.0016331223353795738,90.0,-0.0021830907836411016
xgb_24,0.5,0.25,0.0236874684637243,0.03679532577359668,2,-0.0015060929909745905,31.0,-0.0021830907836411016
xgb_22,0.25,0.1,0.02368474280360289,0.035802633636511344,2,-0.0020076351717610787,38.333333333333336,-0.0021830907836411016
xgb_21,0.75,0.25,0.023678114608942993,0.03590831479277694,2,-0.0015518625528265532,41.333333333333336,-0.0021830907836411016
xgb_21,0.75,0.5,0.023678114608942993,0.03590831479277694,2,-0.0015518625528265532,41.333333333333336,-0.0021830907836411016
xgb_07,0.1,0.25,0.023674272047079125,0.03620784565883013,2,-0.002178334096089971,177.33333333333334,-0.0021830907836411016
xgb_19,0.1,0.25,0.023673144922347705,0.03542414166718184,2,-0.002304423855088616,90.0,-0.0021830907836411016
xgb_19,0.1,0.5,0.023673144922347705,0.03542414166718184,2,-0.002304423855088616,90.0,-0.0021830907836411016
xgb_08,1.0,0.25,0.02367291693613562,0.03522533243648781,2,-0.0014403754781168157,207.33333333333334,-0.0021830907836411016
xgb_08,1.0,0.5,0.02367291693613562,0.03522533243648781,2,-0.0014403754781168157,207.33333333333334,-0.0021830907836411016
xgb_28,0.5,0.5,0.023671538551332624,0.03670782468358414,2,-0.0015189281796795307,30.333333333333332,-0.0021830907836411016
xgb_08,0.75,0.5,0.023667697830422732,0.0359134889015367,2,-0.0012878821049039802,207.33333333333334,-0.0021830907836411016
xgb_20,0.25,0.25,0.023663202082239862,0.03584855297339542,2,-0.001937993621797066,41.333333333333336,-0.0021830907836411016
xgb_13,0.1,0.25,0.023662893514017503,0.036451664880402794,2,-0.0021971545077575897,31.0,-0.0021830907836411016
xgb_29,0.25,0.25,0.023662548312324283,0.03659505710864636,2,-0.0018951289113554079,53.333333333333336,-0.0021830907836411016
xgb_29,0.25,0.5,0.023662548312324283,0.03659505710864636,2,-0.0018951289113554079,53.333333333333336,-0.0021830907836411016
xgb_11,0.75,0.25,0.023661141705050393,0.03636907604647984,2,-0.001655078800603702,19.666666666666668,-0.0021830907836411016
xgb_31,0.25,0.25,0.02365889023497059,0.036880733032819496,2,-0.0018119891310552332,13.666666666666666,-0.0021830907836411016
